 ,Exch,EXCH_SEG,SegmentCode,Symbol,ClientID,Buy/Sell,Token,Product,Qty,Price,OrdType,Trigger Price,DQty,Val,Pro/Cli,Participant ID,LTP
,NSE,NSED,D,NIFTY25NOVFUT,TEST,BUY,37054,MARGIN,75,26000,Limit,0,0,DAY,C,,26074
,NSE,NSED,D,NIFTY25DECFUT,TEST,BUY,49543,MARGIN,75,26000,Limit,0,0,DAY,C,,28586
,NSE,NSED,D,NIFTY26JANFUT,TEST,BUY,49229,MARGIN,65,26000,Limit,0,0,DAY,C,,0
,NSE,NSED,D,INFY25NOVFUT,TEST,BUY,48783,MARGIN,400,1580,Limit,0,0,DAY,C,,1545.4
,NSE,NSED,D,INFY25DECFUT,TEST,BUY,49840,MARGIN,400,1580,Limit,0,0,DAY,C,,0
,NSE,NSED,D,INFY26JANFUT,TEST,BUY,49481,MARGIN,400,1580,Limit,0,0,DAY,C,,0
,NSE,NSED,D,NIFTY25D0926000CE,TEST,BUY,41903,MARGIN,75,200,Limit,0,0,DAY,C,,0
,NSE,NSED,D,SBIN25NOV960CE,TESTD,BUY,117789,MARGIN,750,10,Limit,0,0,DAY,C,,0
,NSE,NSED,D,BANKNIFTY25NOVFUT,TESTD,SELL,37051,MARGIN,35,85000,Limit,0,0,DAY,C,,0
,NSE,NSED,D,BANKNIFTY25DECFUT,TESTD,SELL,49508,MARGIN,35,85000,Limit,0,0,DAY,C,,0
,NSE,NSED,D,BANKNIFTY26JANFUT,TESTD,SELL,49224,MARGIN,30,85000,Limit,0,0,DAY,C,,0
,NSE,NSED,D,TCS25NOVFUT,TESTD,SELL,49119,MARGIN,175,3140,Limit,0,0,DAY,C,,3147
,NSE,NSED,D,TCS25DECFUT,TESTD,SELL,50124,MARGIN,175,3140,Limit,0,0,DAY,C,,0
,NSE,NSED,D,TCS26JANFUT,TESTD,SELL,50187,MARGIN,175,3140,Limit,0,0,DAY,C,,0
,NSE,NSED,D,NIFTY25D0926000CE,TESTD,SELL,41903,MARGIN,75,220,Limit,0,0,DAY,C,,0
,NSE,NSED,D,MARUTI25NOV16000CE,TESTD,SELL,102114,MARGIN,50,20,Limit,0,0,DAY,C,,0
