 ,Exch,EXCH_SEG,SegmentCode,Symbol,ClientID,Buy/Sell,Token,Product,Qty,Price,OrdType,Trigger Price,DQty,Val,Pro/Cli,Participant ID,LTP
,NSE,NSED,D,NIFTY25NOVFUT,SS210,BUY,37054,MARGIN,75,26294.3,Limit,0,0,DAY,C,,26088
,NSE,NSED,D,NIFTY26JANFUT,SS210,BUY,49229,MARGIN,65,26294.3,Limit,0,0,DAY,C,,0
,NSE,NSED,D,INFY25NOVFUT,SS210,BUY,48783,MARGIN,400,1600,Limit,0,0,DAY,C,,1543.3
,NSE,NSED,D,INFY25DECFUT,SS210,BUY,49840,MARGIN,400,1600,Limit,0,0,DAY,C,,0
,NSE,NSED,D,NIFTY25D0226000CE,SS210,BUY,46795,MARGIN,75,100,Limit,0,0,DAY,C,,0
,NSE,NSED,D,INFY25NOV1600CE,SS210,BUY,93202,MARGIN,400,10,Limit,0,0,DAY,C,,0
,NSE,NSED,D,INFY25NOV1600PE,SS210,BUY,93203,MARGIN,400,10,Limit,0,0,DAY,C,,0
,NSE,NSED,D,INFY26JAN1600PE,SS210,BUY,102892,MARGIN,400,10,Limit,0,0,DAY,C,,0
,NSE,NSED,D,NIFTY25NOVFUT,SS210,BUY,37054,MARGIN,75,0,Market,0,0,DAY,C,,26088
,NSE,NSED,D,NIFTY26JANFUT,SS210,BUY,49229,MARGIN,65,0,Market,0,0,DAY,C,,0
,NSE,NSED,D,INFY25NOVFUT,SS210,BUY,48783,MARGIN,400,0,Market,0,0,DAY,C,,1543.3
,NSE,NSED,D,INFY25DECFUT,SS210,BUY,49840,MARGIN,400,0,Market,0,0,DAY,C,,0
,NSE,NSED,D,NIFTY25D0226000CE,SS210,BUY,46795,MARGIN,75,0,Market,0,0,DAY,C,,0
,NSE,NSED,D,INFY25NOV1600CE,SS210,BUY,93202,MARGIN,400,0,Market,0,0,DAY,C,,0
,NSE,NSED,D,INFY25NOV1600PE,SS210,BUY,93203,MARGIN,400,0,Market,0,0,DAY,C,,0
,NSE,NSED,D,INFY26JAN1600PE,SS210,BUY,102892,MARGIN,400,0,Market,0,0,DAY,C,,0
,NSE,NSED,D,NIFTY25NOVFUT,SS210,BUY,37054,MARGIN,75,26294.3,SL,26000,0,DAY,C,,26088
,NSE,NSED,D,NIFTY26JANFUT,SS210,BUY,49229,MARGIN,65,26294.3,SL,26000,0,DAY,C,,0
,NSE,NSED,D,INFY25NOVFUT,SS210,BUY,48783,MARGIN,400,1600,SL,1590,0,DAY,C,,1543.3
,NSE,NSED,D,INFY25DECFUT,SS210,BUY,49840,MARGIN,400,1600,SL,1590,0,DAY,C,,0
,NSE,NSED,D,NIFTY25D0226000CE,SS210,BUY,46795,MARGIN,75,100,SL,90,0,DAY,C,,0
,NSE,NSED,D,INFY25NOV1600CE,SS210,BUY,93202,MARGIN,400,10,SL,90,0,DAY,C,,0
,NSE,NSED,D,INFY25NOV1600PE,SS210,BUY,93203,MARGIN,400,10,SL,8,0,DAY,C,,0
,NSE,NSED,D,INFY26JAN1600PE,SS210,BUY,102892,MARGIN,400,10,SL,8,0,DAY,C,,0
,NSE,NSED,D,NIFTY25NOVFUT,SS210,BUY,37054,MARGIN,75,0,SL-M,26000,0,DAY,C,,26088
,NSE,NSED,D,NIFTY26JANFUT,SS210,BUY,49229,MARGIN,65,0,SL-M,26000,0,DAY,C,,0
,NSE,NSED,D,INFY25NOVFUT,SS210,BUY,48783,MARGIN,400,0,SL-M,1590,0,DAY,C,,1543.3
,NSE,NSED,D,INFY25DECFUT,SS210,BUY,49840,MARGIN,400,0,SL-M,1590,0,DAY,C,,0
,NSE,NSED,D,NIFTY25D0226000CE,SS210,BUY,46795,MARGIN,75,0,SL-M,90,0,DAY,C,,0
,NSE,NSED,D,INFY25NOV1600CE,SS210,BUY,93202,MARGIN,400,0,SL-M,90,0,DAY,C,,0
,NSE,NSED,D,INFY25NOV1600PE,SS210,BUY,93203,MARGIN,400,0,SL-M,8,0,DAY,C,,0
,NSE,NSED,D,INFY26JAN1600PE,SS210,BUY,102892,MARGIN,400,0,SL-M,8,0,DAY,C,,0
